cell no.,A,B,C,D,E,F,G,H,I,size
510050,1.710060887,0.786205367,1.280259366,1.746011487,1.013579576,1.006699147,1.208333333,1.302083333,2.091380428,medium
510060,0.984997359,0.241733781,0.803762074,3.21688471,1.215219167,0.603898286,0.854381631,0.585416923,1.15816077,medium
510063,0.917438476,1.514644351,2.275730623,1.063179547,2.236483072,1.194545455,2.053956835,1.940514469,1.006157635,medium
510064,0.98796734,0.710280374,0.937815657,1.341386317,0.844232182,1.369036027,1.330333033,1.412549407,0.568005952,medium
510073,0.975333603,1.082429,0.596893491,0.930352046,1.099246059,1.008010681,0.691572842,0.876268196,0.973768869,medium
510081,1.045593285,0.910385551,1.237606074,0.871605766,4.173478494,1.189140878,0.969270036,1.108940539,1.205197505,medium
510084,0.973578674,0.943057381,0.941471049,1.055888768,0.938082419,1.030938124,5.099850598,1.161016949,1.171688706,medium
510089,1.052436094,1.000730638,1.562009979,1.072081961,2.723059262,1.058449373,1.922980979,1.293207638,0.825343893,medium
510093,1.018018967,1.344012204,1.051142006,6.325485337,0.971875,1.105394191,1.036418166,1.674132631,7.367806505,medium
510094,1.001493875,1.038011696,1.17369863,4.485467128,2.285433071,2.187014175,1.097760551,2.609576968,6.948717949,medium
510097,0.973471368,1.020588235,1.071396498,7.026571614,0.751133958,1.02079646,1.247533632,1.216894977,3.061056544,medium
510099,1.066719961,1.705059203,1.113578138,3.263283109,1.244159759,1.255891664,0.922708618,1.70737186,2.578996806,medium
510100,1.147147147,0.904432696,1.275780324,6.425349087,0.389569536,1.384435342,1.213565536,1.124468731,1.155377302,medium
510108,2.969331873,1.86854083,1.392883895,0.967472396,2.18207024,1.415226782,1.169888935,1.670704846,0.898682877,medium
510109,0.862254025,0.87979684,0.749854904,0.970135747,3.382288691,1.270716511,1.363808323,1.062075898,0.84113965,medium
510110,0.894560454,0.9108506,0.76843318,1.076019185,0.839318291,0.847701149,0.817968094,0.998357964,1.093554722,medium
510111,0.973669468,0.864956684,1.042946257,1.019766206,4.163815881,1.155507766,0.856793836,0.516226961,0.834057282,medium
510112,0.966054313,0.831948292,0.700985532,0.999217731,0.646151425,0.800990776,0.54073914,0.382963662,0.635820571,medium
510113,0.991295265,1.480259785,0.719685039,1.071745419,2.400236827,0.949162011,0.712083184,0.811050349,0.962942779,medium
510125,1.015306122,1.021385609,0.80717729,0.923629243,1.932561446,0.522703384,0.528364342,0.884182525,1.034997771,medium
510130,2.792671756,1.09738041,0.983195755,0.793398788,4.561430793,0.735703919,2.059550562,2.343345849,0.68899929,medium
510131,1.318095238,1.038380175,0.997989031,0.876095119,4.731677324,1.198618785,0.911431271,1.463977833,1.359180036,medium
510138,1.021417798,0.992289285,1.279690794,5.971584039,0.905767524,1.089048322,1.080801819,1.033533964,0.851932773,medium
510139,0.956875221,0.911861228,1.056603774,3.738366989,0.921218487,1.195665262,1.324545987,1.465730337,1.190697674,medium
510146,1.010260039,0.932586558,0.779512195,2.779006526,2.861180382,0.958803612,0.831524843,0.895187482,1.042632332,medium
510147,0.987875289,0.837730287,1.284212654,2.232517819,1.098184961,0.759483708,1.145995748,2.097954432,1.095657394,medium
510149,1.149118388,0.920211543,1.176187199,3.523513753,1.009986382,1.091286307,1.035508637,1.071333036,1.320163996,medium
510152,0.993181818,0.99181478,1.146728716,2.753424658,1.112959113,0.991855602,1.160388821,1.263832819,2.381897886,medium
510157,1.211791383,1.06263396,1.215674891,1.490501601,7.485251799,1.066821039,1.205128205,1.247163695,1.319974612,medium
510159,0.993288591,2.304547777,0.747336377,1.151589242,1.722972973,0.866799601,0.71610338,0.813169287,1.003474635,medium
510161,0.955551126,1.043568897,0.831431943,1.168101681,0.477465173,0.954627949,0.939153439,0.771280827,1.015023275,medium
510167,0.965199591,0.994657848,0.803030303,4.369856572,1.121400778,0.988916877,1.215732253,0.802304564,1.651901165,medium
510173,0.930734045,1.006990132,1.402546093,2.423357664,0.91015625,0.960801144,0.886865672,0.94105979,1.052898744,medium
